tracks/artist;tracks/album;tracks/track
Nothing But Thieves;Nothing But Thieves;Neon Brother
Tiny Moving Parts;breathe;I Can't Shake
The Early November;Lilac;Ave Maria
Neck Deep;Life's Not Out To Get You;Smooth Seas Don't Make Good Sailors
Neck Deep;Wishful Thinking;Losing Teeth
All Time Low;Nothing Personal;Break Your Little Heart
Have Mercy;Make The Best Of It;Coexist
Stand Atlantic;f.e.a.r.;hair out
Harry Styles;Harry Styles;Sign of the Times
Real Friends;Maybe This Place Is The Same And We're Just Changing;Spread Me All Over Illinois
Knuckle Puck;Copacetic;Evergreen
Troye Sivan;Bloom;Dance To This (feat. Ariana Grande)
YUNGBLUD;21st Century Liability;California
Citizen;Blue Sunday;Blue Sunday
My Chemical Romance;The Black Parade;I Don't Love You
Boston Manor;Welcome to the Neighbourhood;Tunnel Vision
Cistem Failure;Resilience;I Wander
Microwave;Stovall;Mansion in the Sky
The Wonder Years;No Closer To Heaven;Palm Reader
Neck Deep;All Distortions Are Intentional;Sonderland
All Time Low;Don't Panic: It's Longer Now!;Outlines
Fly By Midnight;Happy About Everything Else...;Love Me Like a Friend
Seahaven;Reverie Lagoon: Music For Escapism Only;On The Floor
Charlotte Sands;Love and Other Lies;Want You Like That
Alvvays;Antisocialites;Dreams Tonite
Ivypaint;Little Liaison;Little Liaison
ROAM;Backbone;Head Rush
Aaron West and The Roaring Twenties;We Don't Have Each Other;Get Me Out Of Here Alive
Troye Sivan;Bloom;Plum
My Chemical Romance;The Black Parade;Welcome to the Black Parade
Broadside;Into the Raging Sea;Foolish Believer
Stand Atlantic;f.e.a.r.;deathwish (feat. nothing nowhere.)
Knuckle Puck;While I Stay Secluded;Transparency
All Time Low;Don't Panic: It's Longer Now!;Paint You Wings
Hot Milk;Are You Feeling Alive?;Are You Feeling Alive?
All Time Low;Dirty Work;Under A Paper Moon
Troye Sivan;Bloom;My My My!
Knuckle Puck;Shapeshifter;Wait
Ed Sheeran;x;Thinking out Loud
All Time Low;So Wrong  It's Right (Deluxe Version);Dear Maria  Count Me In
Knuckle Puck;Copacetic;Ponder
The Maine;XOXO: From Love & Anxiety In Real Time;Anxiety In Real Time
The Maine;You Are OK;Numb Without You
The Maine;Lovely Little Lonely;Lovely
ROAM;Backbone;Deadweight
The Eskies;And Don't Spare The Horses;I'd Rather Be Lonely
New Found Glory;Resurrection: Ascension;Living Hell
Crown The Empire;The Resistance: Rise Of The Runaways;Johnny's Rebellion
The Maine;Lovely Little Lonely;I Only Wanna Talk to You
Aaron West and The Roaring Twenties;We Don't Have Each Other;Runnin' Scared
Kodaline;In A Perfect World (Deluxe);Way Back When
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);My Life as Rob Gordon
Hayley Kiyoko;Expectations;Mercy / Gatekeeper
Joyce Manor;Never Hungover Again;The Jerk
Hayley Kiyoko;Expectations;Wanna Be Missed
Stand Atlantic;f.e.a.r.;molotov [OK]
Neck Deep;All Distortions Are Intentional;What Took You So Long?
Fall Out Boy;Folie à Deux;Tiffany Blews
Neck Deep;Life's Not Out To Get You;Can't Kick Up The Roots
The Front Bottoms;Going Grey;Grand Finale
Airways;Ghost Town;Ghost Town
Tiny Moving Parts;Celebrate;Volumes
The Maine;Black & White;Listen to Your Heart
My Chemical Romance;Three Cheers for Sweet Revenge;Cemetery Drive
All Time Low;Don't Panic: It's Longer Now!;The Reckless and the Brave (Acoustic)
State Champs;Living Proof;Dead and Gone
The Wonder Years;No Closer To Heaven;You in January
Tigers Jaw;spin;Favorite
Twenty One Pilots;Cancer;Cancer
The Band Ice Cream;Numbskull;When You Are Not Around
Nothing But Thieves;Broken Machine (Deluxe);Live Like Animals
The Maine;Forever Halloween (Deluxe Version);Kennedy Curse
All Time Low;Wake Up  Sunshine;Sleeping In
State Champs;Around the World and Back;Perfect Score
Nothing But Thieves;Broken Machine (Deluxe);Sorry
AJJ;Good Luck Everybody;Your Voice  As I Remember It
The Eskies;And Don't Spare The Horses;The Man Who Ran
The Maine;Pioneer & The Good Love;When I'm At Home
All Time Low;Don't Panic;The Irony of Choking On a Lifesaver
carolesdaughter;Violent;Violent
Boston Manor;Be Nothing.;Kill Your Conscience
The Maine;Black & White;Untangle Me - B-Side
Real Friends;The Home Inside My Head;Colder Quicker
Kodaline;Coming Up for Air;Love Will Set You Free
Airways;Out Of Luck;Out Of Luck
The Eskies;And Don't Spare The Horses;Death To The Sentry
Kesha;Here Comes The Change;Here Comes The Change - Live Acoustic
Knuckle Puck;Shapeshifter;Stuck In Our Ways
All Time Low;Future Hearts;Dancing With A Wolf
Real Friends;Composure;Ripcord
All Time Low;Wake Up  Sunshine;Trouble Is...
Ed Sheeran;5;Family (feat. P Money)
Real Friends;The Home Inside My Head;Door Without A Key
Kesha;Rich  White  Straight Men;Rich  White  Straight Men
Modern Baseball;You're Gonna Miss It All;Pothole
The Maine;Pioneer & The Good Love;I'm Leaving
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;8
Matt Maeson;Bank On The Funeral;Feel Good
Hayley Kiyoko;This Side of Paradise - EP;Cliffs Edge
The Maine;Lovely Little Lonely;Little
Real Friends;Maybe This Place Is The Same And We're Just Changing;I Think I'm Moving Forward
State Champs;Outta My Head;Outta My Head
Neck Deep;She's A God;She's A God
The Front Bottoms;Talon of the Hawk;The Feud
My Chemical Romance;Three Cheers for Sweet Revenge;The Jetset Life Is Gonna Kill You
The Front Bottoms;Going Grey;Raining
Joyce Manor;Never Hungover Again;Heated Swimming Pool
Airways;Starting to Spin;Reckless Tongue
Crooked Teeth;Crawl;Crawl
PVRIS;All We Know Of Heaven  All We Need Of Hell;Half
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;all the good girls go to hell
Stand Atlantic;f.e.a.r.;xo
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);My Life as a Pigeon
Real Friends;Maybe This Place Is The Same And We're Just Changing;I Don't Love You Anymore
Troye Sivan;Blue Neighbourhood;SUBURBIA
State Champs;Living Proof;Our Time to Go
New Found Glory;Sticks And Stones;Something I Call Personality
Citizen;Black and Red;Black and Red
Real Friends;The Home Inside My Head;Keep Lying To Me
Cavetown;Animal Kingdom;Juliet
Matt Maeson;Who Killed Matt Maeson;Cringe
Citizen;Everybody Is Going To Heaven;Numb Yourself
Born Without Bones;Muscle;Muscle
The Maine;You Are OK;Heaven  We're Already Here
Citizen;As You Please;You Are a Star
Chase Petra;Liminal;In an Emergency Such as the End of the World
Modern Baseball;Sports;Cooke
Tiny Moving Parts;Celebrate;Breathe Deep
Queen;A Night At The Opera;Love Of My Life - Remastered 2011
Bug Hunter;Torn Between a Couple;The Key to Being Lonely
Boston Manor;Welcome to the Neighbourhood;Stick Up
Paramore;After Laughter;Hard Times
Foals;Total Life Forever;Spanish Sahara
The Maine;Forever Halloween (Deluxe Version);These Four Words
Cistem Failure;Resilience;Resilience
Mother Mother;O My Heart;Wrecking Ball
The Maine;Forever Halloween (Deluxe Version);F**ked up Kids
Real Friends;Maybe This Place Is The Same And We're Just Changing;Summer
Have Mercy;A Place of Our Own;To Convey
Syd Matters;Someday We Will Foresee Obstacles (Edition 2008);To All of You
The Maine;Pioneer & The Good Love;Jenny
AJR;OK ORCHESTRA;World's Smallest Violin
All Time Low;Nothing Personal;Lost In Stereo
Fall Out Boy;Infinity On High;Golden
Chase Petra;Liminal;Contractual
King Princess;Pussy Is God;Pussy Is God
Kodaline;Coming Up for Air;Caught in the Middle
Neck Deep;The Peace And The Panic;Parachute
Modern Baseball;MOBO Presents: The Perfect Cast EP feat. Modern Baseball;The Waterboy Returns
New Found Glory;Resurrection: Ascension;Stubborn
My Chemical Romance;Danger Days: The True Lives of the Fabulous Killjoys;S/C/A/R/E/C/R/O/W
State Champs;Living Proof;Criminal
Hayley Kiyoko;A Belle to Remember;Maple
AS IT IS;The Great Depression;The Truth I’ll Never Tell
Beach Bunny;Good Girls (Don’t Get Used);Good Girls (Don’t Get Used)
The Greatest Bits;Night in the Woods;Angus' Story
Bright Eyes;I'm Wide Awake  It's Morning;At The Bottom Of Everything
Airways;Starting to Spin;Mate
The Maine;You Are OK;Broken Parts
State Champs;Living Proof;Mine is Gold
Frank Iero;Stomachaches;She's the Prettiest Girl at the Party  and She Can Prove It with a Solid Right Hook
ROAM;Smile Wide;Piranha
Harry Styles;Harry Styles;Carolina
Matt Maeson;Never Had to Leave;A Memory Away
Neck Deep;All Distortions Are Intentional;When You Know
Modern Baseball;You're Gonna Miss It All;Pothole
Ed Sheeran;Loose Change;Little Bird
Chapel;Sunday Brunch;Caught Up
The Front Bottoms;The Front Bottoms;Bathtub
The Wonder Years;The Greatest Generation;Teenage Parents
The Front Bottoms;Talon of the Hawk;Skeleton
YUNGBLUD;god save me  but don't drown me out;god save me  but don't drown me out
Peter McPoland;Shit Show;Shit Show
Knuckle Puck;Copacetic;Wall to Wall (Depreciation)
Cavetown;Animal Kingdom;Boys Will Be Bugs
Basement;Beside Myself;Ultraviolet
Basement;Beside Myself;Right Here
Kodaline;Coming Up for Air;Ready
Gerard Way;Hesitant Alien;Brother
Ed Sheeran;+;Give Me Love
The Wombats;Glitterbug;Be Your Shadow
Harry Styles;Fine Line;Watermelon Sugar
Roar;I Can't Handle Change;I Can't Handle Change
The Homeless Gospel Choir;Presents: Normal;Depression
Hot Milk;Are You Feeling Alive?;Wide Awake
Real Friends;Maybe This Place Is The Same And We're Just Changing;Loose Ends
Microwave;Death is a Warm Blanket;Float to the Top
Basement;Beside Myself;Changing Lanes
Panic! At The Disco;Vices & Virtues;Trade Mistakes
Cistem Failure;Resilience;Desert
Microwave;Death is a Warm Blanket;Love's Will Tear Us Apart
The Wombats;Glitterbug;Your Body Is a Weapon
All Time Low;So Wrong  It's Right (Deluxe Version);Stay Awake (Dreams Only Last For A Night) - Acoustic
Ed Sheeran;x;Nina
Tigers Jaw;spin;Bullet
My Chemical Romance;The Black Parade;Cancer
Tiny Moving Parts;Swell;Applause
Knuckle Puck;The Weight That You Buried;No Good
The Maine;Pioneer & The Good Love;I Want You
Bright Eyes;I'm Wide Awake  It's Morning;Another Travelin' Song
ROAM;Backbone;Bloodline
Emma Blackery;Magnetised;Don't Come Home
Hayley Kiyoko;A Belle to Remember;A Belle to Remember
The Front Bottoms;Rose;Flying Model Rockets
Troye Sivan;Blue Neighbourhood;TOO GOOD
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;Patricia the Stripper
Ed Sheeran;÷;Nancy Mulligan
Troye Sivan;Blue Neighbourhood;BITE
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;Backfire at the Disco
The Greatest Bits;Night in the Woods;Astral Coal Town
Bon Iver;For Emma  Forever Ago;Flume
YUNGBLUD;YUNGBLUD;King Charles
Ed Sheeran;5;Goodbye to You (feat. Dot Rotten)
Can't Swim;Fail You Again;What’s Your Big Idea?
Billie Eilish;dont smile at me;idontwannabeyouanymore
Tigers Jaw;Charmer;Teen Rocket
Nothing But Thieves;Nothing But Thieves;Wake Up Call
Stand Atlantic;Pink Elephant;Wavelength
Modern Baseball;"Split 7""";This Song Is Gonna Buy Brendan Lukens a New Pair of Socks
The Maine;Less Noise: A Collection of Songs by a Band Called the Maine;Into Your Arms (Acoustic)
Harry Styles;Fine Line;Canyon Moon
Modern Baseball;Holy Ghost;Breathing in Stereo
The Front Bottoms;Rose;Jim Bogart
Stand Atlantic;Skinny Dipping;Bullfrog
Microwave;Stovall;Something Right
The Maine;Broken Parts;Broken Parts
Chase Petra;Liminal;Standby
The Maine;Less Noise: A Collection of Songs by a Band Called the Maine;Thinking of You (Acoustic)
Neck Deep;The Peace And The Panic;The Grand Delusion
Harry Styles;Harry Styles;Ever Since New York
The Front Bottoms;Back on Top;Summer Shandy
Kodaline;I Wouldn't Be - EP;Ready to Change
The Maine;Pioneer & The Good Love;Some Days
John-Allison Weiss;Say What You Mean;I Was An Island
Siiickbrain;Destructible;Destructible
All Time Low;Put Up Or Shut Up (Deluxe Version);The Girl's a Straight-Up Hustler
Neck Deep;All Distortions Are Intentional;Quarry
Have Mercy;A Place of Our Own;Two Years
My Chemical Romance;The Black Parade;Famous Last Words
My Chemical Romance;Danger Days: The True Lives of the Fabulous Killjoys;Summertime
Neck Deep;Life's Not Out To Get You;Citizens Of Earth
Harry Styles;Harry Styles;Kiwi
ROAM;Great Heights & Nosedives;While The World Keeps Spinning
All Time Low;Don't Panic: It's Longer Now!;Backseat Serenade (Acoustic)
The Maine;Can't Stop Won't Stop;Count 'em One  Two  Three
State Champs;Crying Out Loud;Crying Out Loud
Basement;Promise Everything;Lose Your Grip
Kesha;Rainbow;Finding You
Ed Sheeran;+;Drunk
Stand Atlantic;f.e.a.r.;dumb (feat. Tom The Mail Man)
Fall Out Boy;Folie à Deux;(Coffee's For Closers)
Stand Atlantic;Skinny Dipping;Toothpick
All Time Low;Last Young Renegade;Good Times
Sundressed;Sundressed & Nominee;So Poetic
Microwave;Death is a Warm Blanket;Leather Daddy
All Time Low;Wake Up  Sunshine;Favorite Place (feat. The Band CAMINO)
The Greatest Bits;Night in the Woods;Die Anywhere Else
David Bowie;The Rise and Fall of Ziggy Stardust and the Spiders from Mars;Starman - 2012 Remaster
The Maine;XOXO: From Love & Anxiety In Real Time;Love In Real Time
Martin Garrix;There for You;There for You
Ratwyfe;Mushroom Melancholia;Three of Swords
The Front Bottoms;Back on Top;HELP
Hayley Kiyoko;Citrine EP;Gravel to Tempo
Modern Baseball;Sports;Coals
Matt Maltese;As the World Caves In;As the World Caves In
The Eskies;After the Sherry Went Round;After the Sherry Went Round
All Time Low;Last Young Renegade;Life of the Party
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;Tales of Girls  Boys and Marsupials
Everybody's Worried About Owen;Mawce;Mawce
Nothing But Thieves;Nothing But Thieves;Excuse Me
YUNGBLUD;YUNGBLUD;Doctor Doctor - Unplugged
The Maine;American Candy;Diet Soda Society
Ratwyfe;Mushroom Melancholia;R U Mine?
New Found Glory;Resurrection: Ascension;Living Hell (Acoustic)
Real Friends;This Is Honesty;A Little Too Nice
Can't Swim;This Too Won't Pass;My Queen
All Time Low;So Wrong  It's Right (Deluxe Version);Shameless
Modern Baseball;Holy Ghost;Coding These to Lukens
State Champs;Around the World and Back;Around the World and Back
Neck Deep;STFU;STFU
Night Cap;Heat;Heat
The Maine;Black & White;Every Road
Hot Milk;June Gloom;June Gloom
Hayley Kiyoko;A Belle to Remember;Wild & Wicked World
Now; Now;Threads
Lincoln;A Constant State of Ohio;Banks
Kodaline;Coming Up for Air;Moving On
Olen;Honda Civic - Work Tape;Honda Civic - Work Tape
Ed Sheeran;x;I See Fire
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Hoodie Weather
The Maine;Forever Halloween (Deluxe Version);Ugly on the Inside
Billie Eilish;Therefore I Am;Therefore I Am
The Maine;Can't Stop Won't Stop;Girls Do What They Want
The Maine;Pioneer & The Good Love;Waiting for My Sun to Shine
Can't Swim;Fail You Again;Show Me
MARINA;The Family Jewels;Hermit the Frog
Ratwyfe;Mushroom Melancholia;Let's B Goblins!
Knuckle Puck;Breathe (feat. Derek Sanders);Breathe (feat. Derek Sanders)
Michael Cera Palin;Growing Pains;Laughing Makes It Worse
ROAM;Great Heights & Nosedives;Home
The Maine;American Candy;American Candy
Kodaline;In A Perfect World (Deluxe);One Day
Chloe Adams;Dirty Thoughts;Dirty Thoughts
Knuckle Puck;Copacetic;Swing
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Woke Up Older (Acoustic)
Citizen;Youth;The Summer
Lowen;Just Fucking Let Me Love You;Just Fucking Let Me Love You
The Front Bottoms;In Sickness & In Flames;the hard way
Mal Blum;You Look A Lot Like Me;Better Go
Basement;Promise Everything;Submission
Bright Eyes;I'm Wide Awake  It's Morning;We Are Nowhere And It's Now
Tigers Jaw;Belongs To The Dead;Heat
The Maine;American Candy;English Girls
My Chemical Romance;The Black Parade;Dead!
Ed Sheeran;+;U.N.I.
Have Mercy;A Place of Our Own;The Place You Love
The Wombats;Beautiful People Will Ruin Your Life;I Don't Know Why I Like You but I Do
The Eskies;And Don't Spare The Horses;All Good Men
State Champs;Living Proof;Cut Through the Static
All Time Low;Don't Panic: It's Longer Now!;The Reckless and the Brave
Tigers Jaw;spin;Make It Up
Tonight Alive;All Shapes & Disguises;Wasting Away
Ed Sheeran;5;Nightmares (feat. Random Impulse  Sway & Wretch 32)
Ed Sheeran;x;Take It Back
All Time Low;So Wrong  It's Right (Deluxe Version);Vegas
Boston Manor;Be Nothing.;Fossa
Stand Atlantic;hair out;molotov [ok]
Citizen;Youth;Sick And Impatient
Kodaline;Worth It;Worth It
Hayley Williams;Tegan and Sara Present the Con X: Covers;Nineteen
State Champs;Kings of the New Age;Outta My Head
Matt Maeson;Never Had to Leave;Cut Deep
Neck Deep;The Peace And The Panic;Motion Sickness
Now; Now;Threads
PVRIS;All We Know Of Heaven  All We Need Of Hell;Anyone Else
All Time Low;Painting Flowers;Painting Flowers
Now; Now;Threads
Apes of the State;This City Isn't Big Enough;I Listened
Tessa Violet;Bad Ideas;Bad Ideas
New Found Glory;Sticks And Stones;Sonny
AS IT IS;Never Happy  Ever After;Dial Tones
Starship;Knee Deep In The Hoopla;We Built This City
The Front Bottoms;Going Grey;Far Drive
Knuckle Puck;Copacetic;Pretense
Steph Barrak;Words to Break Your Heart;The Way You Make Me Smile
Kodaline;Coming Up for Air;Play the Game
State Champs;Kings of the New Age;Everybody but You
Nothing But Thieves;Broken Machine (Deluxe);Reset Me
Rikas;Overthinking;Overthinking
The Maine;Less Noise: A Collection of Songs by a Band Called the Maine;Diet Soda Society (Acoustic)
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;bury a friend
Ed Sheeran;+;The City
The Greatest Bits;Night in the Woods;Possum Springs
Can't Swim;Fail You Again;Friend
Modern Baseball;You're Gonna Miss It All;Charlie Black
Kodaline;In A Perfect World (Deluxe);High Hopes
The Wonder Years;The Greatest Generation;There  There
Citizen;Everybody Is Going To Heaven;Heaviside
Basement;Colourmeinkindness;Spoiled
The Greatest Bits;Night in the Woods;Gregg's Woods
YUNGBLUD;the underrated youth;casual sabotage
Frankie Cosmos;Sad 2 / Slide;Slide
All Time Low;Last Young Renegade;Nightmares
Now; Now;Threads
All Time Low;Nothing Personal;A Party Song (The Walk of Shame)
The Maine;Pioneer & The Good Love;Hello World
The Maine;American Candy;My Hair
Tigers Jaw;Charmer;Charmer
Cistem Failure;Cistem Failure;Riots Not Diets
New Found Glory;Sticks And Stones;Head On Collision
Hayley Kiyoko;A Belle to Remember;Better Than Love
Basement;I Wish I Could Stay Here;Every Single Word
Modern Baseball;Holy Ghost;What If
The Wonder Years;No Closer To Heaven;Brothers &
fredo disco;school spirit;saturn suv
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;My First Wedding
Joyce Manor;Never Hungover Again;Falling in Love Again
All Time Low;Don't Panic;Somewhere in Neverland
Boston Manor;Be Nothing.;Lead Feet
Fall Out Boy;Folie à Deux;What A Catch  Donnie
The Maine;Forever Halloween (Deluxe Version);Forever Halloween
The Eskies;After the Sherry Went Round;Wild  Wild Heart
Culture Club;Colour By Numbers;Karma Chameleon
Ed Sheeran;Loose Change;Let It Out
ROAM;Backbone;Tell Me
Boston Manor;Welcome to the Neighbourhood;England's Dreaming
Chase Petra;Liminal;See You Next Tuesday
The Maine;Less Noise: A Collection of Songs by a Band Called the Maine;Blood Red (Acoustic)
ROAM;Backbone;All The Same
Now; Now;SGL
Beach Bunny;Honeymoon;Cloud 9
Stand Atlantic;Pink Elephant;DWYW
PVRIS;White Noise;You and I
Troye Sivan;Blue Neighbourhood;BLUE
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;Here Comes the Anxiety
The Wombats;Glitterbug;Emoticons
Anthony Amorim;Sad Forever (Deluxe);She Doesn't Sleep
YUNGBLUD;21st Century Liability;Polygraph Eyes
Now; Now;Threads
The Wombats;Proudly Present... A Guide to Love  Loss & Desperation;Dr. Suzanne Mattox  PhD
All Time Low;Don't Panic;Backseat Serenade
Harry Styles;Fine Line;Fine Line
The Wonder Years;The Greatest Generation;An American Religion (FSF)
Four Year Strong;Four Year Strong;Go Down In Histor
Paramore;Riot!;Misery Business
The Front Bottoms;Talon of the Hawk;Santa Monica
The Maine;Less Noise: A Collection of Songs by a Band Called the Maine;How Do You Feel? (Acoustic)
State Champs;Around the World and Back;Losing Myself
The Crystal Casino Band;Not About You;Waste My Time
The Wonder Years;Sister Cities;The Orange Grove
New Found Glory;Sticks And Stones;The Great Houdini
Troye Sivan;Bloom;What A Heavenly Way To Die
PVRIS;All We Know Of Heaven  All We Need Of Hell;Winter
Have Mercy;The Earth Pushed Back;This Old Ark
State Champs;Around the World and Back;All or Nothing
The Maine;American Candy;(Un)Lost
AS IT IS;Never Happy  Ever After;Cheap Shots & Setbacks
Tiny Moving Parts;Swell;Warm Hand Splash
Charlotte Sands;Bad Day;Bad Day
Foals;Holy Fire;Bad Habit
YUNGBLUD;weird!;superdeadfriends
Ed Sheeran;+;The A Team
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Me vs the Highway
My Chemical Romance;Three Cheers for Sweet Revenge;Helena
The Wonder Years;Sister Cities;Pyramids of Salt
Cistem Failure;Cistem Failure;The Hunt
Cavetown;Animal Kingdom;Advice
Citizen;As You Please;As You Please
Boston Manor;Welcome to the Neighbourhood;Welcome to the Neighbourhood
AS IT IS;okay.;No Way Out
The Front Bottoms;Needy When I'm Needy;Joanie
Fall Out Boy;Folie à Deux;w.a.m.s.
The Maine;Black & White;Growing Up
Matt Maeson;Bank On The Funeral;The Mask
Tigers Jaw;spin;Escape Plan
Airways;Trampoline/The End;The End
The Eskies;After the Sherry Went Round;Jesus Don't Save Me
Modern Baseball;Sports;Re-Done
Billie Eilish;everything i wanted;everything i wanted
Every Avenue;Picture Perfect;I Forgive You
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;my strange addiction
Mother Mother;Dance And Cry;It's Alright
Harry Styles;Fine Line;She
The Front Bottoms;Going Grey;Vacation Town
ROAM;Backbone;Leaving Notice
Near Tears;Jaded;Jaded
The Maine;Black & White;Color
Billie Eilish;dont smile at me;watch
The Maine;Lovely Little Lonely;Do You Remember? (The Other Half of 23)
Emma Blackery;Villains;Agenda
All Time Low;Future Hearts;Something's Gotta Give
Ed Sheeran;Loose Change;Firefly
My Chemical Romance;The Black Parade;The End.
LØLØ;death wish;death wish
All Time Low;Last Young Renegade;Dirty Laundry
Ed Sheeran;x;Afire Love
Neck Deep;Wishful Thinking;Growing Pains
The Maine;Lovely Little Lonely;Black Butterflies and Déjà Vu
State Champs;Kings of the New Age;Eventually
Microwave;Death is a Warm Blanket;Part of It
Ed Sheeran;Loose Change;One Night
Frank Iero;Stomachaches;.stage 4 fear of trying.
The Wombats;Glitterbug;Headspace
Modern Baseball;Sports;Re-Do
The Front Bottoms;In Sickness & In Flames;love at first sight
The Eskies;After the Sherry Went Round;Heave Away
Emma Blackery;Villains;What I Felt with You
YUNGBLUD;21st Century Liability;21st Century Liability
Now; Now;Threads
Kodaline;In A Perfect World (Deluxe);Talk
Ed Sheeran;x;Even My Dad Does Sometimes
Boston Manor;Be Nothing.;Cu
Real Friends;Put Yourself Back Together;Dead
Basement;Colourmeinkindness;Comfort
YUNGBLUD;21st Century Liability;Kill Somebody
Dexys Midnight Runners;Come On Eileen / Dubious;Come On Eileen
Billie Eilish;dont smile at me;party favor
The Eskies;After the Sherry Went Round;Eloise
The Front Bottoms;Ann;Lonely Eyes
All Time Low;So Wrong  It's Right (Deluxe Version);Come One  Come All
Panic! At The Disco;Death of a Bachelor;The Good  the Bad and the Dirty
YUNGBLUD;strawberry lipstick;strawberry lipstick
The Homeless Gospel Choir;I Used to Be So Young;Capitalismo
brb.;move;move
Citizen;As You Please;I Forgive No One
All Time Low;Don't Panic: It's Longer Now!;Oh  Calamity!
The Front Bottoms;Ann;Tie Dye Dragon
The Wombats;If You Ever Leave  I'm Coming With You;If You Ever Leave  I'm Coming with You
Steph Barrak;Words to Break Your Heart;Watch for Me
Wallows;Remote;Nobody Gets Me (Like You)
Modern Baseball;Holy Ghost;Note to Self
Covey;Class Of Cardinal Sin;Cut On The Crease
All Time Low;So Wrong  It's Right (Deluxe Version);Six Feet Under The Stars
The Tallest Man On Earth;Dark Bird Is Home;Dark Bird Is Home
Basement;I Wish I Could Stay Here;Crickets Throw Their Voice
AS IT IS;The Great Depression;The Wounded World
Ed Sheeran;5;Fire Alarms
Ryan Caraveo;Butterfly Boy;Peanut Butter Waffles
Ed Sheeran;+;Lego House
Hayley Kiyoko;Citrine EP;One Bad Night
New Found Glory;Resurrection: Ascension;Resurrection
State Champs;Around the World and Back;Back and Forth
Neck Deep;Wishful Thinking;Candour
Real Friends;The Home Inside My Head;Scared To Be Alone
Basement;Beside Myself;New Coast
Cavetown;Man's Best Friend;Idea of Her
Troye Sivan;Bloom;Seventeen
The Maine;You Are OK;One Sunset
Tiny Moving Parts;Celebrate;Stay Warm
Frankie Cosmos;Next Thing;Sappho
Chapel;Sunday Brunch;We've Got Soul
Neck Deep;All Distortions Are Intentional;Lowlife
Harry Styles;Fine Line;To Be So Lonely
Neck Deep;Wishful Thinking;Blank Pages
The Maine;Less Noise: A Collection of Songs by a Band Called the Maine;Some Days (Acoustic)
All Time Low;Wake Up  Sunshine;Wake Up  Sunshine
The Front Bottoms;The Front Bottoms;The Boredom Is the Reason I Started Swimming. It's Also the Reason I Started Sinking
Real Friends;The Home Inside My Head;Well  I’m Sorry
Fall Out Boy;Folie à Deux;Headfirst Slide Into Cooperstown On A Bad Bet
Modern Baseball;MOBO Presents: The Perfect Cast EP feat. Modern Baseball;Infinity Exposed
The Eskies;And Don't Spare The Horses;I'm Not Sorry
Bright Eyes;I'm Wide Awake  It's Morning;Lua
AS IT IS;Never Happy  Ever After;Concrete - Acoustic Version
Marietta;Couples Therapy;Yeah Yeah Utah
Real Friends;This Is Honesty;Something's Keeping Me Here
Nothing But Thieves;Nothing But Thieves;If I Get High
State Champs;Kings of the New Age;Half Empty
The Maine;Lovely Little Lonely;How Do You Feel?
The Homeless Gospel Choir;Presents: Normal;Crazy
Steph Barrak;Words to Break Your Heart;Hardwired
Emma Blackery;Villains;Fake Friends
Aaron West and The Roaring Twenties;We Don't Have Each Other;Divorce and the American South
Remember Sports;Sunchokes;Nowhere to Be
Hayley Kiyoko;I'm Too Sensitive For This Shit;Runaway
Sarcastic Sounds;change ur mind;change ur mind
The Wonder Years;Out On My Feet / Brakeless;Out On My Feet
Hayley Kiyoko;Citrine EP;Palace
All Time Low;Wake Up  Sunshine;Glitter & Crimson
All Time Low;Don't Panic: It's Longer Now!;If These Sheets Were States
Sidney Gish;Ed Buys Houses;What Do You Want from Me Tonight?
The Wombats;Glitterbug;Greek Tragedy
Steph Barrak;Words to Break Your Heart;Painted Face
All Time Low;Don't Panic: It's Longer Now!;Thanks to You
Hayley Kiyoko;Citrine EP;Pretty Girl
The Maine;April 7th;April 7th
glass beach;the first glass beach album;cold weather
Neck Deep;Rain In July / A History Of Bad Decisions;Silver Lining
Fall Out Boy;American Beauty/American Psycho;Fourth Of July
Lucy Rose;Like I Used To (Deluxe Edition);Gamble
Modern Baseball;Sports;The Weekend
Olen;Who’s Gonna Love Me (When I’m Not Young);DOA
Knuckle Puck;Don't Come Home;Woodwork
New Found Glory;Resurrection: Ascension;The Crown
Can't Swim;Fail You Again;Molly’s Desk
Tigers Jaw;I Won't Care How You Remember Me;Can't Wait Forever
Stand Atlantic;hair out;hair out
